block_id,start_time,end_time,start_sec,end_sec,duration_min,ocr_theme,speech_theme,final_theme,agreement,needs_review,review_reason,speech_coverage_ratio,speech_theme_support_ratio,n_speech_windows,anchor_candidate_status,anchor_confidence,anchor_pivot_to_piece_time,anchor_candidate_offset_sec,anchor_score,anchor_evidence,speech_transition_near_boundary,nearest_speech_transition_time,nearest_speech_transition_distance_sec,nearest_speech_transition_reason,ocr_themes_present,speech_themes_present,ocr_candidates_present,speech_candidates_present,ocr_text,speech_excerpt,micro_blocks
36,57:09,57:12,3429.0,3432.0,0.05,Other/Unknown,Justiça/Segurança,Justiça/Segurança,speech_only,True,OCR theme is unknown; final theme relies on speech.,1.0,1.0,1,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,False,,,,Economia/Proteção Social,"Economia/Proteção Social, Justiça/Segurança",,,intercalar que atingia fundamentadamente pelos dados até aquela data conhecidos pelo | menos de cerca de 108 milhões de euros de impostos em falta | pereira hernâni antunes e jessica antunes nos termos expostos no referido relatório | rate en faror uma neturalização dos valores de impostos em falta | à data foi apurada uma vantagem patrimonial ilegítima atribuída aos suspeitos armando | 20 51 | de sociedades com sede em vários territórios parte das quais com um carácter meramente | falsificação ,"defesa contra o Ministério Público e a autoridade tributária que calculou as perdas para o Estado. Ao todo, os 154 milhões de euros que devem ter subido com mais juros, aludados",43
37,57:12,57:24,3432.0,3444.0,0.2,Other/Unknown,Justiça/Segurança,Justiça/Segurança,speech_only,True,OCR theme is unknown; final theme relies on speech.,1.0,1.0,1,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,False,,,,,"Economia/Proteção Social, Justiça/Segurança",,,20 51 | exclusivo | tvi 20 51 | aya,"defesa contra o Ministério Público e a autoridade tributária que calculou as perdas para o Estado. Ao todo, os 154 milhões de euros que devem ter subido com mais juros, aludados",44
38,57:24,57:48,3444.0,3468.0,0.4,Other/Unknown,Justiça/Segurança,Justiça/Segurança,speech_only,True,OCR theme is unknown; final theme relies on speech.,1.0,1.0,2,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,True,58:00,36.0,"lexical_change_high, semantic_change_high",,"Economia/Proteção Social, Justiça/Segurança, Internacional",,,lhoes para o estado | tvi 20 51 | inspeção tributária reclama 154 milhões para o estado | 20 51 | exclusivo | operação picoas | tvi 20 52 | 20 52,"defesa contra o Ministério Público e a autoridade tributária que calculou as perdas para o Estado. Ao todo, os 154 milhões de euros que devem ter subido com mais juros, aludados crimes de fraude fiscal, branquiamente capitais e falsificação de documentos. Mateia complexa de empresas em vários países, França, onde fica a Sede de Altice, mas também nos emirados a Arabes Unidos, Luxemburgo, República Dominicana, Estados Unidos e Malta, a defesa contesta com palavras pouco comuns nos tribunais, as contas de mais de 150 milhões de euros, de impostos sem falta.",45
39,57:48,58:06,3468.0,3486.0,0.3,Justiça/Segurança,Justiça/Segurança,Justiça/Segurança,high,False,,1.0,0.667,2,candidate_detected,high,58:00,12.0,5,"body_ocr_appeared_after_empty_baseline, body_ocr_volume_jump, new_body_terms, lexical_shift_from_baseline",True,58:00,12.0,"lexical_change_high, semantic_change_high",Justiça/Segurança,"Economia/Proteção Social, Justiça/Segurança, Internacional",,,defesa contesta artimanhas numéricas da investigação | tvi 20 52 | operação picoas | 20 52 | exclusivo | defesa contesta artimanhas numéricas da investigaçã | tvi | name and address of the party of the party of the party of the party of the party of the party of the party of the party of the party of the party of the party of the party of the party of the party of the party of the par,"crimes de fraude fiscal, branquiamente capitais e falsificação de documentos. Mateia complexa de empresas em vários países, França, onde fica a Sede de Altice, mas também nos emirados a Arabes Unidos, Luxemburgo, República Dominicana, Estados Unidos e Malta, a defesa contesta com palavras pouco comuns nos tribunais, as contas de mais de 150 milhões de euros, de impostos sem falta. O inspeitor da autoridade tributar em causa está habituado em investigações financeiras de grande complexidade. Paulo Silva esteve na operação Marques, BPN,",46
40,58:06,58:09,3486.0,3489.0,0.05,Other/Unknown,Other/Unknown,Other/Unknown,unknown_both,True,Both modalities are unknown.,1.0,1.0,1,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,True,58:00,6.0,"lexical_change_high, semantic_change_high",,,,,20 52 | exclusivo | percha diguis de la facilita en volo de ministrativo pom | periodes deposit or federal and union the distribution of pass,"O inspeitor da autoridade tributar em causa está habituado em investigações financeiras de grande complexidade. Paulo Silva esteve na operação Marques, BPN,",47
41,58:09,58:21,3489.0,3501.0,0.2,Other/Unknown,Other/Unknown,Other/Unknown,unknown_both,True,Both modalities are unknown.,1.0,1.0,1,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,True,58:00,9.0,"lexical_change_high, semantic_change_high",,,,,20 52 | of high de segment or arise other size a quantification do insert | tvi 20 52,"O inspeitor da autoridade tributar em causa está habituado em investigações financeiras de grande complexidade. Paulo Silva esteve na operação Marques, BPN,",48
42,58:21,58:39,3501.0,3519.0,0.3,Other/Unknown,Other/Unknown,Other/Unknown,unknown_both,True,Both modalities are unknown.,1.0,1.0,2,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,True,58:00,21.0,"lexical_change_high, semantic_change_high",,,,,20 52 | exclusivo | defesa acusa inspetor de ser merceeiro aldrabão | escândalo altice | tvi | tvi 20 52 | state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the state of the s | defesa acusa inspetor de ser merceeiro aldrabã,"O inspeitor da autoridade tributar em causa está habituado em investigações financeiras de grande complexidade. Paulo Silva esteve na operação Marques, BPN, Furacão e Montenbranco, a defesa compara o inspeitor tributário a um mercíero aldrabão. Se necessitá-semos de sintizar imagéticamente aquilo com que nos disparamos, recorriamos ao exemplo típico do mercíero que matia descaradamente o dedo na própria avalança. A defesa diz que existem situações em que o inspector tributário quadroplica ou quinto plica o mesmo valor, por tendrar a",49
43,58:39,58:48,3519.0,3528.0,0.15,Other/Unknown,Other/Unknown,Other/Unknown,unknown_both,True,Both modalities are unknown.,1.0,1.0,1,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,True,59:00,21.0,"new_theme_after_unknown, lexical_change_high",,,,,20 53,"Furacão e Montenbranco, a defesa compara o inspeitor tributário a um mercíero aldrabão. Se necessitá-semos de sintizar imagéticamente aquilo com que nos disparamos, recorriamos ao exemplo típico do mercíero que matia descaradamente o dedo na própria avalança. A defesa diz que existem situações em que o inspector tributário quadroplica ou quinto plica o mesmo valor, por tendrar a",50
44,58:48,58:51,3528.0,3531.0,0.05,Other/Unknown,Other/Unknown,Other/Unknown,unknown_both,True,Both modalities are unknown.,1.0,1.0,1,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,True,59:00,12.0,"new_theme_after_unknown, lexical_change_high",,,,,20 53 | exclusivo | the owner when de | the column two,"Furacão e Montenbranco, a defesa compara o inspeitor tributário a um mercíero aldrabão. Se necessitá-semos de sintizar imagéticamente aquilo com que nos disparamos, recorriamos ao exemplo típico do mercíero que matia descaradamente o dedo na própria avalança. A defesa diz que existem situações em que o inspector tributário quadroplica ou quinto plica o mesmo valor, por tendrar a",51
45,58:51,58:54,3531.0,3534.0,0.05,Other/Unknown,Other/Unknown,Other/Unknown,unknown_both,True,Both modalities are unknown.,1.0,1.0,1,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,True,59:00,9.0,"new_theme_after_unknown, lexical_change_high",,,,,tvi 20 53,"Furacão e Montenbranco, a defesa compara o inspeitor tributário a um mercíero aldrabão. Se necessitá-semos de sintizar imagéticamente aquilo com que nos disparamos, recorriamos ao exemplo típico do mercíero que matia descaradamente o dedo na própria avalança. A defesa diz que existem situações em que o inspector tributário quadroplica ou quinto plica o mesmo valor, por tendrar a",52
46,58:54,59:21,3534.0,3561.0,0.45,Other/Unknown,Justiça/Segurança,Justiça/Segurança,speech_only,True,OCR theme is unknown; final theme relies on speech.,1.0,0.778,2,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,True,59:00,6.0,"new_theme_after_unknown, lexical_change_high",,"Economia/Proteção Social, Justiça/Segurança",,,tvi 20 53 | os documentos confidenciais da operação picoas | 20 53 | escândalo altice | tvi | exclusivo | mp e empresários relatam indícios de extorsã | mp e empresários relatam indícios de extorsão,"Furacão e Montenbranco, a defesa compara o inspeitor tributário a um mercíero aldrabão. Se necessitá-semos de sintizar imagéticamente aquilo com que nos disparamos, recorriamos ao exemplo típico do mercíero que matia descaradamente o dedo na própria avalança. A defesa diz que existem situações em que o inspector tributário quadroplica ou quinto plica o mesmo valor, por tendrar a cobrar impostos de forma ilegal e com Lativa argumenta os advogados para o infinito e mais além. No outro lado, os investigadores da opração picouas ouviram muitas desmunhas, várias relatam negócios feitos com a intermediação do amigo do fundador da Altice, um empresário e o Ministério Público, além de entender indíc...",53
47,59:21,59:27,3561.0,3567.0,0.1,Other/Unknown,Justiça/Segurança,Justiça/Segurança,speech_only,True,OCR theme is unknown; final theme relies on speech.,1.0,1.0,1,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,True,59:00,21.0,"new_theme_after_unknown, lexical_change_high",,"Economia/Proteção Social, Justiça/Segurança",,,tvi 20 53 | a total property of the party of the party of the party of the party of the party of the party of the party of the party of the party of the party of the party of the party of the party of the party of the party of the par | 14788 | comparison comparison of manifestation of the comparison of the comparison of the comparison of the comparison of the comparison of the comparison of the comparison of the comparison of the comparison of the comparison of | name and address of taxable par,"cobrar impostos de forma ilegal e com Lativa argumenta os advogados para o infinito e mais além. No outro lado, os investigadores da opração picouas ouviram muitas desmunhas, várias relatam negócios feitos com a intermediação do amigo do fundador da Altice, um empresário e o Ministério Público, além de entender indícios de instrução.",54
48,59:27,59:42,3567.0,3582.0,0.25,Other/Unknown,Justiça/Segurança,Justiça/Segurança,speech_only,True,OCR theme is unknown; final theme relies on speech.,1.0,1.0,2,weak_candidate_no_persistence,low,59:39,12.0,2,"body_ocr_appeared_after_empty_baseline, body_ocr_volume_jump",True,59:00,27.0,"new_theme_after_unknown, lexical_change_high",,"Economia/Proteção Social, Justiça/Segurança, Desporto",,,20 53 | exclusivo | no 400 20075 no 20175 | name and post office address of the party named in column 2 in column 2 in column 2 in column 2 in column 2 in column 2 in column 2 in column 2 in column 2 in column 2 in column 2 in column 2 in column 2 in column 2 in col | 20 54 | tvi 20 54,"cobrar impostos de forma ilegal e com Lativa argumenta os advogados para o infinito e mais além. No outro lado, os investigadores da opração picouas ouviram muitas desmunhas, várias relatam negócios feitos com a intermediação do amigo do fundador da Altice, um empresário e o Ministério Público, além de entender indícios de instrução. A Sábio Seg não é uma empresa qualquer, é uma das maiores corretoras de seguros em Portugal e já patrocinou a segunda liga de futebol. O Ministério Público admitem mesmo que podem ter assistido crimes de extorsão contra vários empresários. O pagavam as comissões, ou ficavam sem negócio com uma dona da mel. Osepoend ficou com",55
49,59:42,59:57,3582.0,3597.0,0.25,Other/Unknown,Justiça/Segurança,Justiça/Segurança,speech_only,True,OCR theme is unknown; final theme relies on speech.,1.0,1.0,1,weak_candidate_no_persistence,low,59:48,6.0,3,"new_body_terms, lexical_shift_from_baseline",True,59:00,42.0,"new_theme_after_unknown, lexical_change_high",,"Justiça/Segurança, Desporto",,,20 54 | segl | sabseg | pagam comissão ou perdem negócios | exclusivo | operação picoas | portugal | ortugal,"A Sábio Seg não é uma empresa qualquer, é uma das maiores corretoras de seguros em Portugal e já patrocinou a segunda liga de futebol. O Ministério Público admitem mesmo que podem ter assistido crimes de extorsão contra vários empresários. O pagavam as comissões, ou ficavam sem negócio com uma dona da mel. Osepoend ficou com",56
50,59:57,01:00:00,3597.0,3600.0,0.05,Other/Unknown,Justiça/Segurança,Justiça/Segurança,speech_only,True,OCR theme is unknown; final theme relies on speech.,1.0,1.0,1,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,False,,,,,"Justiça/Segurança, Desporto",,,20 54 | exclusivo | 14788 | description of the party named in | names of taxable party of taxable party | the second second second second second second second second second second second second second second second second second second second second second second second second second second second second second second second s,"A Sábio Seg não é uma empresa qualquer, é uma das maiores corretoras de seguros em Portugal e já patrocinou a segunda liga de futebol. O Ministério Público admitem mesmo que podem ter assistido crimes de extorsão contra vários empresários. O pagavam as comissões, ou ficavam sem negócio com uma dona da mel. Osepoend ficou com",57
51,01:00:00,01:00:51,3600.0,3651.0,0.85,Other/Unknown,Other/Unknown,Other/Unknown,unknown_both,True,Both modalities are unknown.,0.588,1.0,1,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,False,,,,,,,,20 54 | exclusivo | tvi 20 54 | antónio josé vilela sandra felgueiras jornalistas | miguel freitas editor de imagem | 20 55 | tvi 20 55,"a convicção de que eram essas três pessoas que condicionavam as decisões a produzir na altice, em sede de seguros e que bastaria um telefonema do Hernani, para que os seguros fossem retirados a a Sape Sega, porque voltou a ser procurado uma solução no sentido da utilização de um dia-dor de seguros a quem fosse empagas às comissões.",58
52,01:00:51,01:01:57,3651.0,3717.0,1.1,Transportes/Mobilidade,Economia/Proteção Social,Transportes/Mobilidade,low_conflict,True,OCR and speech themes conflict.,0.864,0.526,2,candidate_detected,medium,01:01:15,24.0,2,"body_ocr_appeared_after_empty_baseline, body_ocr_volume_jump",True,01:01:00,9.0,"new_theme_after_unknown, lexical_change_high, semantic_change_high","Transportes/Mobilidade, Cultura, Economia/Proteção Social, Governo/Partidos","Economia/Proteção Social, Justiça/Segurança, Transportes/Mobilidade",Henrique Gouveia e Melo,,tvi perigo na autoestrada | perigo na autoestrada | tvi 20 55 | 20 55 | nacional | jornal nacional | motoristas conduzem expressos nos dias de descanso | tv i 20 55,"A violação dos tempos de descansso obrigatório é um modo de vida para desenas de profissionais do volante da carriz, empresas de transportes da Câmara de Lisboa e, sobretudo, da STCP que pertence a seis municípios do grande porto. Os passageiros não sabem, mas pagam ambilhete para embarcar reguaremente em bombas relógio sobre rodas ao tocar os do longo curso que ligam às principais cidades do país. Uma investigação do jornal nascer do Sol, esta sexta-feira nas","59, 60, 61"
53,01:01:57,01:02:00,3717.0,3720.0,0.05,Other/Unknown,Justiça/Segurança,Justiça/Segurança,speech_only,True,OCR theme is unknown; final theme relies on speech.,1.0,1.0,1,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,True,01:01:30,27.0,"theme_changed, lexical_change_high",Justiça/Segurança,"Justiça/Segurança, Transportes/Mobilidade",,,conduzem sem dormir | 20 56 | en engert e | há locais | isboa | iá não tem | latra | m munique,"de transportes da Câmara de Lisboa e, sobretudo, da STCP que pertence a seis municípios do grande porto. Os passageiros não sabem, mas pagam ambilhete para embarcar reguaremente em bombas relógio sobre rodas ao tocar os do longo curso que ligam às principais cidades do país. Uma investigação do jornal nascer do Sol, esta sexta-feira nas",62
54,01:02:00,01:02:54,3720.0,3774.0,0.9,Economia/Proteção Social,Transportes/Mobilidade,Economia/Proteção Social,low_conflict,True,OCR and speech themes conflict.,1.0,0.556,2,late_body_ocr_change,low,,48.0,3,"new_body_terms, lexical_shift_from_baseline",True,01:01:30,30.0,"theme_changed, lexical_change_high","Economia/Proteção Social, Internacional, Transportes/Mobilidade","Transportes/Mobilidade, Economia/Proteção Social",,,conduzem sem dormir | dias de descanso | trabalham nos | 20 56 | ater o excesso de | pôs medidas tec | stas de pesados | de camiões do lixo,"bancas revela que o problema foi denunciado em 2023 pela redespreços do grupo barracairo sem quaisquer resultados práticos. STCP e carriz levavam a mão de responsabilidades. A autoridade nacional para as condições do trabalho invoca confidência ilidade para revelar que ter instalado nos últimos anos apenas cinco processos. O Instituto da Mobilidade e dos Transportes nem sequer respondeu as perguntas que lhe foram dirigidas. A Flickspus, a empresa Alomã que relucionou o mercado, garante boas práticas, acentes nos contratos de 15 micro e pequenas empresas subcontratadas e dos contratos destas com os motoristas.","63, 64"
55,01:02:54,01:04:12,3774.0,3852.0,1.3,Other/Unknown,Economia/Proteção Social,Economia/Proteção Social,speech_only,True,OCR theme is unknown; final theme relies on speech.; Low speech coverage inside OCR block.,0.077,1.0,1,weak_candidate_no_persistence,low,01:03:09,15.0,2,"body_ocr_volume_jump, body_zone_changed",True,01:02:30,24.0,"theme_changed, lexical_change_high",,Economia/Proteção Social,,,0 754 | tvi 20 57 | a segu | não dormir bem tem consequências graves | 20 57 | jornal nacional | a televisão feita por si | 1 s,"sequer respondeu as perguntas que lhe foram dirigidas. A Flickspus, a empresa Alomã que relucionou o mercado, garante boas práticas, acentes nos contratos de 15 micro e pequenas empresas subcontratadas e dos contratos destas com os motoristas.",65
56,01:04:12,01:06:27,3852.0,3987.0,2.25,Saúde,Other/Unknown,Saúde,ocr_only,False,Speech theme is unknown; OCR provides the usable theme.,0.867,1.0,4,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,True,01:04:30,18.0,"lexical_change_high, semantic_change_high, gap_high",Saúde,,,,tvi 21 14 | 21 14 | jornal nacional | problemas de sono | não dormir pode estar na origem de várias doenças | tvi | não dormir pode estar na origem de várias doença | 6 rightarrow,"É variável de pessoa para a pessoa, mas que para um adulto é em seta ou 8 horas. A qualidade do sonho tem que ser boa e a pessoa tem que sentir bem quando acordar. Ah, em Portugal, três em cada destes pessoas sofrem de insônia. Quando uma insônia dura mais que três vezes personada e três durante três meses passa a ser crônica e ao mesmo ao risco de pressão. Fez doenças médicas são alteradas pelo sonho e vão alterações do sonho. Quaseiro, isso tem que ser considerado numa insônia e a probabilidade de ver uma doença médica e levadíssima. Tira de o sonho, com sonhos de perseguido. A los anos de perseguido não tira, porque se o seu dormir mal, não estraga também. Portanto, o meu não tira, mas pr...",66
57,01:06:27,01:06:39,3987.0,3999.0,0.2,Other/Unknown,Other/Unknown,Other/Unknown,unknown_both,True,Both modalities are unknown.,1.0,1.0,2,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,True,01:06:30,3.0,"lexical_change_high, volume_change_high",,,,,tvi 21 16 | 21 16 | jornal nacional | maria marujo i jornalista | david luz i repórter de imagem | joão pedro ferreira i editor de imagem,"A los anos de perseguido não tira, porque se o seu dormir mal, não estraga também. Portanto, o meu não tira, mas preocupa muito, começamos a vida muito cero. E acabamos muito tarde. Portanto, quer que fica reduzida ou sou o nome de anel, não? Nós temos genos relógio, que são regienos, que só funcionam em períodos de 24 horas. E tudo no nosso corpo, tanto se está se incronizado pelo dia e pela noite, o que o cliente não fazia isso, é uma coisa completamente esperantrada. O sonho é bom, considero e o melhor conselho para quase todos os malos.",67
58,01:06:39,01:12:18,3999.0,4338.0,5.65,Educação,Educação,Educação,high,False,,1.0,0.354,12,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,True,01:06:30,9.0,"lexical_change_high, volume_change_high","Saúde, Educação, Governo/Partidos","Educação, Governo/Partidos",,,dormir dá saúde e faz crescer | tvi 21 16 | dormir dá saúde e faz crescep | 21 16 | jornal nacional | crianças do ensino público exaustas por falta de sestas | tvi | dormir dá saúde e faz crescer crianças do ensino público exaustas por falta de sestas,"coisa completamente esperantrada. O sonho é bom, considero e o melhor conselho para quase todos os malos. Recalta-me dois filhos e sentiu na pele estas mesmas consequências quando o mais velho aos quatro anos deixou de poder fazer a sexta porque a escola que frequentava assim o imposto. Que eu notava era uma criança muito mais irritada, uma criança exasta, uma criança com mais dificuldade em se alimentar ao fim do dia. E esses comportamentos que as crianças apresentam ao final do dia são muito típicos que é a maior frustração, maior dificuldade em lidar com a gestão emocional de cair com mais frequência, portanto maior discordinação motor, e o que isto mostra? O que a criança está cansada? B...",68
59,01:12:18,01:14:21,4338.0,4461.0,2.05,Other/Unknown,Educação,Educação,speech_only,True,OCR theme is unknown; final theme relies on speech.,0.585,0.417,3,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,False,,,,,Educação,,,tvi 21 22 | o poder do beijo | 21 22 | jornal nacional | tvi | estudo sugere que surgiu há mais de 21 milhões de anos | 1 22 | estudo sugere que surgiu há mais de 21 milhões de ano,"o amor. Mas está longe de ser exclusivo dos humanos. O que não sabíamos e foi revelado agora por um estudo de Nestle de Geográfico, é que o beijo já era uma troca de carinho entre os Jantisímios, há, imaginaem, 21 milhões de anos. Por esta altura, deverá estar a questionar-se sobre o porquê de ver estas imagens de uma peça. A resposta é simples o estudo recente publicado na National Geographic, diz que beijar na boca não é um gesto exclusivo dos humanos, nem é uma invenção dos tempos modernos, tracomçado a mais de 21 mil e uns dianos precisamente entre os grandes címios como gorilares e chimpanzes. Não sou sobre a humana, mas também muitas espécies, e, mal também, já fez isso. Para, claro, p...",69
60,01:14:21,01:15:30,4461.0,4530.0,1.15,Other/Unknown,No speech,Other/Unknown,no_speech,True,No speech window overlaps this OCR block.; Low speech coverage inside OCR block.,0.0,0.0,0,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,False,,,,,,,,tvi 21 24 | 21 24 | jornal nacional | 1 vi 21 24 | tvi 21 25 | 21 25 | tital | 1 vi 21 25,,70
61,01:15:30,01:15:51,4530.0,4551.0,0.35,Other/Unknown,No speech,Other/Unknown,no_speech,True,No speech window overlaps this OCR block.; Low speech coverage inside OCR block.,0.0,0.0,0,weak_candidate_no_persistence,low,01:15:48,18.0,4,"body_ocr_appeared_after_empty_baseline, new_body_terms, lexical_shift_from_baseline",False,,,,,,,,tvi 21 25 | joan street martins | diretor fotografia pedro furtado | cenografia catarina amaro | 21 25 | jornal nacional | chefe redação pedro pinheiro | edição joão guilherme ferreira,,71
62,01:15:51,01:15:57,4551.0,4557.0,0.1,Other/Unknown,No speech,Other/Unknown,no_speech,True,No speech window overlaps this OCR block.; Low speech coverage inside OCR block.,0.0,0.0,0,not_detected_by_ocr,none,,,0,no_relevant_body_ocr_change,False,,,,,,,,dip | dip lb | qllp | lp ql | ql lp | dup | dilp lb | dilp,,72
